Protein,MinEnergy,Duration (seconds)
1BXL.pdbqt_result.txt,-6.1,52.0785143
1BXL.pdbqt_run2_result.txt,-6.2,56.6531097
1BXL.pdbqt_run3_result.txt,-6.1,47.6406856
1M61.pdbqt_result.txt,-5.2,63.1010028
1M61.pdbqt_run2_result.txt,-5.1,59.1614394
1M61.pdbqt_run3_result.txt,-5.1,59.3403794
1M6I.pdbqt_result.txt,-5.9,58.8141492
1M6I.pdbqt_run2_result.txt,-6,59.2149471
1M6I.pdbqt_run3_result.txt,-6,57.8498218
1Z6T.pdbqt_result.txt,-4.8,106.0884244
1Z6T.pdbqt_run2_result.txt,-4.6,98.0979781
1Z6T.pdbqt_run3_result.txt,-5,95.9152575
1ZY3.pdbqt_result.txt,-6.7,35.8047981
1ZY3.pdbqt_run2_result.txt,-6.5,52.1777928
1ZY3.pdbqt_run3_result.txt,-6.7,57.4069692
2FQQ.pdbqt_result.txt,-4.1,43.6336832
2FQQ.pdbqt_run2_result.txt,-4.2,42.0396687
2FQQ.pdbqt_run3_result.txt,-4.1,61.8963698
2HYY.pdbqt_result.txt,-5.8,62.564654
2HYY.pdbqt_run2_result.txt,-5.7,75.5197456
2HYY.pdbqt_run3_result.txt,-7.4,56.9825301
2ISI.pdbqt_result.txt,-4.3,76.078278
2ISI.pdbqt_run2_result.txt,-4.9,59.6524867
2ISI.pdbqt_run3_result.txt,-5.1,76.4061887
2O21.pdbqt_result.txt,-5.5,44.6474827
2O21.pdbqt_run2_result.txt,-5.5,31.2587248
2O21.pdbqt_run3_result.txt,-5.6,39.3206305
2VM6.pdbqt_result.txt,-5.5,52.6811613
2VM6.pdbqt_run2_result.txt,-5.6,41.0277657
2VM6.pdbqt_run3_result.txt,-5.4,30.2423742
2W15.pdbqt_result.txt,-5.8,42.437497
2W15.pdbqt_run2_result.txt,-5.8,55.4151906
2W15.pdbqt_run3_result.txt,-5.7,39.3446252
2W1H.pdbqt_result.txt,-6.8,42.0314829
2W1H.pdbqt_run2_result.txt,-6.8,55.1277206
2W1H.pdbqt_run3_result.txt,-6.9,37.09488
3C4C.pdbqt_result.txt,-6.5,58.3123856
3C4C.pdbqt_run2_result.txt,-6.4,65.3797721
3C4C.pdbqt_run3_result.txt,-6.3,50.9791925
3EWT.pdbqt_result.txt,-5.3,50.6243017
3EWT.pdbqt_run2_result.txt,-5.4,42.3248737
3EWT.pdbqt_run3_result.txt,-5.3,29.5470416
3HMI.pdbqt_result.txt,-7.2,42.4184739
3HMI.pdbqt_run2_result.txt,-7.2,53.9136808
3HMI.pdbqt_run3_result.txt,-7.1,46.3709135
3MVH.pdbqt_result.txt,-6.9,45.6267763
3MVH.pdbqt_run2_result.txt,-7,44.1981294
3MVH.pdbqt_run3_result.txt,-7.1,45.5898572
,,2600.033808
