Protein,MinEnergy,Duration (seconds)
"1ABO.pdbqt_result.txt","-7.5","194.4250137"
"1BBZ.pdbqt_result.txt","-8.1","240.5073055"
"1FPU.pdbqt_result.txt","-12.1","324.0514315"
"1IEP.pdbqt_result.txt","-13.2","297.1291046"
"1JU5.pdbqt_result.txt","-8.6","207.9058386"
"1K1F.pdbqt_result.txt","-8.2","301.262832"
"1M52.pdbqt_result.txt","-8.1","314.0973665"
"1OPJ.pdbqt_result.txt","-8.8","303.6216983"
"1OPK.pdbqt_result.txt","-10.5","200.7675916"
"1OPL.pdbqt_result.txt","-10.4","355.2765238"
"2E2B.pdbqt_result.txt","-8.9","312.8931612"
"2F4J.pdbqt_result.txt","-10.4","195.8112741"
"2FO0.pdbqt_result.txt","-10.6","224.0577075"
"2G1T.pdbqt_result.txt","-7.6","340.8923423"
"2G2F.pdbqt_result.txt","-10.2","325.2509795"
"2G2H.pdbqt_result.txt","-10.2","279.5995066"
"2G2I.pdbqt_result.txt","-9.6","296.953953"
"2GQG.pdbqt_result.txt","-10.3","315.6551475"
"2H8H.pdbqt_result.txt","-10.6","196.7857363"
"2HIW.pdbqt_result.txt","-11.8","298.6202896"
"2HYY.pdbqt_result.txt","-11","327.9071947"
"2HZ0.pdbqt_result.txt","-10.4","303.9000852"
"2HZ4.pdbqt_result.txt","-8.3","317.5007036"
"2HZI.pdbqt_result.txt","-10.3","286.6124062"
"2HZN.pdbqt_result.txt","-10.4","192.1289765"
"2O88.pdbqt_result.txt","-6.9","216.3426873"
"2OIQ.pdbqt_result.txt","-12.8","284.7542059"
"2QOH.pdbqt_result.txt","-9.7","289.2772914"
"2V7A.pdbqt_result.txt","-9.1","322.481386"
"2XYN.pdbqt_result.txt","-9.7","319.1652967"
"2Z60.pdbqt_result.txt","-11","199.5898142"
"3BHY.pdbqt_result.txt","-10","181.4073429"
"3BKB.pdbqt_result.txt","-9.4","185.588799"
"3CBL.pdbqt_result.txt","-9.5","212.3264386"
"3CD3.pdbqt_result.txt","-9.5","189.6563492"
"3CS9.pdbqt_result.txt","-7.5","335.391713"
"3DK3.pdbqt_result.txt","-7.6","303.0824937"
"3DK6.pdbqt_result.txt","-8.6","329.9556639"
"3DK7.pdbqt_result.txt","-9.8","332.065208"
"3EG0.pdbqt_result.txt","-6.8","335.8147378"
"3EG1.pdbqt_result.txt","-7.1","220.0814893"
"3EG2.pdbqt_result.txt","-8.4","241.4045051"
"3EG3.pdbqt_result.txt","-8.3","223.3289145"
"3EGU.pdbqt_result.txt","-6.5","304.8602475"
"3G6G.pdbqt_result.txt","-12.3","240.704883"
"3G6H.pdbqt_result.txt","-8.1","304.8581763"
"3GVU.pdbqt_result.txt","-11.4","197.5653756"
"3HEC.pdbqt_result.txt","-12.1","195.8921625"
"3HEG.pdbqt_result.txt","-9.3","198.8140372"
"3HMI.pdbqt_result.txt","-9.3","187.9673783"
"3IK3.pdbqt_result.txt","-8.7","304.2950108"
"3K2M.pdbqt_result.txt","-7.6","298.4968913"
"3K5V.pdbqt_result.txt","-9.8","278.2240146"
"3KF4.pdbqt_result.txt","-10.4","291.5227904"
"3KFA.pdbqt_result.txt","-10","297.0047512"
"3MS9.pdbqt_result.txt","-9.9","291.6781031"
"3MSS.pdbqt_result.txt","-8.5","347.6921774"
"3OEZ.pdbqt_result.txt","-10.1","299.4945152"
"3OF0.pdbqt_result.txt","-8.8","279.7069591"
"3OXZ.pdbqt_result.txt","-9.6","195.2445174"
"3OY3.pdbqt_result.txt","-10.4","296.6786508"
"3PYY.pdbqt_result.txt","-9.3","281.5873251"
"3QLF.pdbqt_result.txt","-8.5","251.7435715"
"3QLG.pdbqt_result.txt","-8.7","274.1859466"
"3QRI.pdbqt_result.txt","-10","295.330471"
"3QRJ.pdbqt_result.txt","-9.4","294.7476269"
"3QRK.pdbqt_result.txt","-9.1","201.6495228"
"3T04.pdbqt_result.txt","-7.4","271.486849"
"3TZ7.pdbqt_result.txt","-9.5","255.7887066"
"3TZ8.pdbqt_result.txt","-9.3","282.1398584"
"3TZ9.pdbqt_result.txt","-9.6","283.9530665"
"3UE4.pdbqt_result.txt","-9.3","283.1679369"
"3UYO.pdbqt_result.txt","-8.6","202.7908504"
"4AGW.pdbqt_result.txt","-10.1","264.3714872"
"4CSV.pdbqt_result.txt","-12.4","191.1571352"
"4ESR.pdbqt_result.txt","-8.9","187.1688806"
"4J9B.pdbqt_result.txt","-7","229.1786041"
"4J9C.pdbqt_result.txt","-7.8","211.1035041"
"4J9D.pdbqt_result.txt","-7.7","253.6069436"
"4J9E.pdbqt_result.txt","-7.7","247.783776"
"4J9F.pdbqt_result.txt","-7.6","258.463703"
"4J9G.pdbqt_result.txt","-7.8","240.1526153"
"4J9H.pdbqt_result.txt","-7.7","320.4129962"
"4J9I.pdbqt_result.txt","-7.3","231.0359113"
"4JJB.pdbqt_result.txt","-7.6","330.3652324"
"4JJC.pdbqt_result.txt","-7.6","224.9268359"
"4JJD.pdbqt_result.txt","-7","221.9927321"
"4TWP.pdbqt_result.txt","-10.9","321.5442852"
"4UEU.pdbqt_result.txt","-9.1","193.7354633"
"4WA9.pdbqt_result.txt","-8.2","285.8364144"
"4XEY.pdbqt_result.txt","-9.2","304.868412"
"4YC8.pdbqt_result.txt","-10","303.7091385"
"4ZOG.pdbqt_result.txt","-10.6","309.2734778"
"5DC0.pdbqt_result.txt","-8.4","271.7397781"
"5DC4.pdbqt_result.txt","-7.6","208.0769402"
"5DC9.pdbqt_result.txt","-7.6","206.7896401"
"5EC7.pdbqt_result.txt","-8.3","241.3292263"
"5ECA.pdbqt_result.txt","-7.5","238.6040672"
"5MO4.pdbqt_result.txt","-11","235.4285154"
"5N7E.pdbqt_result.txt","-8.3","259.6499295"
"5NP2.pdbqt_result.txt","-9","210.9285596"
"5OAZ.pdbqt_result.txt","-7.5","224.2789763"
"5OC7.pdbqt_result.txt","-8.1","313.2030978"
"6BL8.pdbqt_result.txt","-10","299.4221245"
"6FBK.pdbqt_result.txt","-8.8","207.5159007"
"6GL3.pdbqt_result.txt","-9.4","300.7582103"
"6HD4.pdbqt_result.txt","-11.2","299.0513861"
"6HD6.pdbqt_result.txt","-9.1","295.5327758"
"6NPE.pdbqt_result.txt","-8.3","301.4921531"
"6NPU.pdbqt_result.txt","-8.1","304.4358658"
"6NPV.pdbqt_result.txt","-9.7","300.3506703"
